CURSO,CÓDIGO DE TURMA,TURMA,TEORIA,PRÁTICA,CAMPUS,TURNO,T-P-E-I,VAGAS TOTAIS,VAGAS REMANESCENT ES,TURMAS ALTA DEMANDA,DOCENTE TEORIA,DOCENTE TEORIA 2,DOCENTE PRÁTICA,DOCENTE PRÁTICA 2
BACHARELADO EM CIÊNCIA E TECNOLOGIA,DA4BCJ0203-15SA,FENÔMENOS ELETROMAGNÉTICOS A4-Matutino (SA),"quarta das 08:00 às 10:00, semanal ; sexta das 10:00 às 12:00, semanal","quarta das 10:00 às 12:00, quinzenal II",SA,Matutino,4-1-0,33,0,SIM,EDUARDO PERES NOVAIS DE SA,0,ADRIANO REINALDO VICOTO BENVENHO,0
CURSO,CÓDIGO DE TURMA,TURMA,TEORIA,PRÁTICA,CAMPUS,TURNO,T-P-E-I,VAGAS TOTAIS,VAGAS REMANESCENT ES,TURMAS ALTA DEMANDA,DOCENTE TEORIA,DOCENTE TEORIA 2,DOCENTE PRÁTICA,DOCENTE PRÁTICA 2
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NA4BCJ0203-15SA,FENÔMENOS ELETROMAGNÉTICOS A4-Noturno (SA),"quarta das 19:00 às 21:00, semanal ; sexta das 21:00 às 23:00, semanal","quarta das 21:00 às 23:00, quinzenal II",SA,Noturno,4-1-0,33,0,-,RONALDO SAVIOLI SUME VIEIRA,0,RONALDO SAVIOLI SUME VIEIRA,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NA4BCJ0203-15SB,FENÔMENOS ELETROMAGNÉTICOS A4-Noturno (SB),"quarta das 19:00 às 21:00, semanal ; sexta das 21:00 às 23:00, semanal","quarta das 21:00 às 23:00, quinzenal II",SB,Noturno,4-1-0,33,0,-,VITOR HUGO PASCHOAL,0,VITOR HUGO PASCHOAL,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,DA5BCJ0203-15SA,FENÔMENOS ELETROMAGNÉTICOS A5-Matutino (SA),"quarta das 08:00 às 10:00, semanal ; sexta das 10:00 às 12:00, semanal","quarta das 10:00 às 12:00, quinzenal I",SA,Matutino,4-1-0,33,0,-,EDUARDO PERES NOVAIS DE SA,0,EDUARDO PERES NOVAIS DE SA,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NA5BCJ0203-15SA,FENÔMENOS ELETROMAGNÉTICOS A5-Noturno (SA),"quarta das 19:00 às 21:00, semanal ; sexta das 21:00 às 23:00, semanal","quarta das 21:00 às 23:00, quinzenal I",SA,Noturno,4-1-0,33,0,-,RONALDO SAVIOLI SUME VIEIRA,0,RONALDO SAVIOLI SUME VIEIRA,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,DA6BCJ0203-15SA,FENÔMENOS ELETROMAGNÉTICOS A6-Matutino (SA),"quarta das 08:00 às 10:00, semanal ; sexta das 10:00 às 12:00, semanal","quarta das 10:00 às 12:00, quinzenal II",SA,Matutino,4-1-0,33,0,SIM,EDUARDO PERES NOVAIS DE SA,0,EDUARDO PERES NOVAIS DE SA,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NA6BCJ0203-15SA,FENÔMENOS ELETROMAGNÉTICOS A6-Noturno (SA),"quarta das 19:00 às 21:00, semanal ; sexta das 21:00 às 23:00, semanal","quarta das 21:00 às 23:00, quinzenal II",SA,Noturno,4-1-0,33,0,-,RONALDO SAVIOLI SUME VIEIRA,0,DENISE CRIADO PEREIRA DE SOUZA,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,DA7BCJ0203-15SA,FENÔMENOS ELETROMAGNÉTICOS A7-Matutino (SA),"quarta das 08:00 às 10:00, semanal ; sexta das 10:00 às 12:00, semanal","quarta das 10:00 às 12:00, quinzenal I",SA,Matutino,4-1-0,33,0,-,RICARDO ROCAMORA PASZKO,0,RICARDO ROCAMORA PASZKO,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NA7BCJ0203-15SA,FENÔMENOS ELETROMAGNÉTICOS A7-Noturno (SA),"quarta das 19:00 às 21:00, semanal ; sexta das 21:00 às 23:00, semanal","quarta das 21:00 às 23:00, quinzenal I",SA,Noturno,4-1-0,33,0,-,ANDRE GUSTAVO SCAGLIUSI LANDULFO,0,ANDRE GUSTAVO SCAGLIUSI LANDULFO,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,DA8BCJ0203-15SA,FENÔMENOS ELETROMAGNÉTICOS A8-Matutino (SA),"quarta das 08:00 às 10:00, semanal ; sexta das 10:00 às 12:00, semanal","quarta das 10:00 às 12:00, quinzenal II",SA,Matutino,4-1-0,33,0,-,RICARDO ROCAMORA PASZKO,0,RICARDO ROCAMORA PASZKO,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NA8BCJ0203-15SA,FENÔMENOS ELETROMAGNÉTICOS A8-Noturno (SA),"quarta das 19:00 às 21:00, semanal ; sexta das 21:00 às 23:00, semanal","quarta das 21:00 às 23:00, quinzenal II",SA,Noturno,4-1-0,33,0,-,ANDRE GUSTAVO SCAGLIUSI LANDULFO,0,ANDRE GUSTAVO SCAGLIUSI LANDULFO,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,DA9BCJ0203-15SA,FENÔMENOS ELETROMAGNÉTICOS A9-Matutino (SA),"quarta das 08:00 às 10:00, semanal ; sexta das 10:00 às 12:00, semanal","quarta das 10:00 às 12:00, quinzenal II",SA,Matutino,4-1-0,33,0,-,RICARDO ROCAMORA PASZKO,0,LETICIE MENDONCA FERREIRA,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NA9BCJ0203-15SA,FENÔMENOS ELETROMAGNÉTICOS A9-Noturno (SA),"quarta das 19:00 às 21:00, semanal ; sexta das 21:00 às 23:00, semanal","quarta das 21:00 às 23:00, quinzenal I",SA,Noturno,4-1-0,33,0,-,DIEGO EDISON LOPEZ SILVA,0,DIEGO EDISON LOPEZ SILVA,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,DB1BCJ0203-15SA,FENÔMENOS ELETROMAGNÉTICOS B1-Matutino (SA),"sexta das 08:00 às 10:00, semanal ; quarta das 10:00 às 12:00, semanal","quarta das 08:00 às 10:00, quinzenal I",SA,Matutino,4-1-0,33,16,-,MARCOS DE ABREU AVILA,0,MARCOS DE ABREU AVILA,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NB1BCJ0203-15SA,FENÔMENOS ELETROMAGNÉTICOS B1-Noturno (SA),"sexta das 19:00 às 21:00, semanal ; quarta das 21:00 às 23:00, semanal","quarta das 19:00 às 21:00, quinzenal I",SA,Noturno,4-1-0,33,20,-,CHEE SHENG FONG,0,CHEE SHENG FONG,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NB1BCJ0203-15SB,FENÔMENOS ELETROMAGNÉTICOS B1-Noturno (SB),"quarta das 21:00 às 23:00, semanal ; sexta das 19:00 às 21:00, semanal","quarta das 19:00 às 21:00, quinzenal I",SB,Noturno,4-1-0,33,15,-,LUIZ AUGUSTO STUANI PEREIRA,0,LUIZ AUGUSTO STUANI PEREIRA,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,DB3BCJ0203-15SA,FENÔMENOS ELETROMAGNÉTICOS B3-Matutino (SA),"quarta das 10:00 às 12:00, semanal ; sexta das 08:00 às 10:00, semanal","quarta das 08:00 às 10:00, quinzenal I",SA,Matutino,4-1-0,33,0,-,MARCOS DE ABREU AVILA,0,LETICIE MENDONCA FERREIRA,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,DB3BCJ0203-15SB,FENÔMENOS ELETROMAGNÉTICOS B3-Matutino (SB),"quarta das 10:00 às 12:00, semanal ; sexta das 08:00 às 10:00, semanal","quarta das 08:00 às 10:00, quinzenal I",SB,Matutino,4-1-0,33,12,-,REGINA KEIKO MURAKAMI,0,REGINA KEIKO MURAKAMI,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NB3BCJ0203-15SA,FENÔMENOS ELETROMAGNÉTICOS B3-Noturno (SA),"quarta das 21:00 às 23:00, semanal ; sexta das 19:00 às 21:00, semanal","quarta das 19:00 às 21:00, quinzenal I",SA,Noturno,4-1-0,33,0,-,CHEE SHENG FONG,0,DENISE CRIADO PEREIRA DE SOUZA,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NB4BCJ0203-15SA,FENÔMENOS ELETROMAGNÉTICOS B4-Noturno (SA),"quarta das 21:00 às 23:00, semanal ; sexta das 19:00 às 21:00, semanal","quarta das 19:00 às 21:00, quinzenal II",SA,Noturno,4-1-0,33,15,-,GUSTAVO MICHEL MENDOZA LA TORRE,0,PIETER WILLEM WESTERA,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NB6BCJ0203-15SA,FENÔMENOS ELETROMAGNÉTICOS B6-Noturno (SA),"quarta das 21:00 às 23:00, semanal ; sexta das 19:00 às 21:00, semanal","quarta das 19:00 às 21:00, quinzenal II",SA,Noturno,4-1-0,33,0,-,GUSTAVO MICHEL MENDOZA LA TORRE,0,DENISE CRIADO PEREIRA DE SOUZA,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,DA1BCJ0205-15SA,FENÔMENOS TÉRMICOS A1-Matutino (SA),"quarta das 14:00 às 16:00, semanal ; sexta das 16:00 às 18:00, quinzenal I","sexta das 14:00 às 16:00, quinzenal I",SA,Matutino,3-1-4,30,0,-,EDUARDO DE MORAES GREGORES,0,EDUARDO DE MORAES GREGORES,0
CURSO,CÓDIGO DE TURMA,TURMA,TEORIA,PRÁTICA,CAMPUS,TURNO,T-P-E-I,VAGAS TOTAIS,VAGAS REMANESCENT ES,TURMAS ALTA DEMANDA,DOCENTE TEORIA,DOCENTE TEORIA 2,DOCENTE PRÁTICA,DOCENTE PRÁTICA 2
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NA1BCJ0205-15SA,FENÔMENOS TÉRMICOS A1-Noturno (SA),"quarta das 19:00 às 21:00, semanal ; sexta das 21:00 às 23:00, quinzenal I","sexta das 19:00 às 21:00, quinzenal I",SA,Noturno,3-1-4,33,0,-,ANA MELVA CHAMPI FARFAN,0,ANA MELVA CHAMPI FARFAN,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NA1BCJ0205-15SB,FENÔMENOS TÉRMICOS A1-Noturno (SB),"quarta das 19:00 às 21:00, semanal ; sexta das 21:00 às 23:00, quinzenal I","sexta das 19:00 às 21:00, quinzenal I",SB,Noturno,3-1-4,30,13,-,MARCELO OLIVEIRA DA COSTA PIRES,0,MARCELO OLIVEIRA DA COSTA PIRES,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,DA2BCJ0205-15SA,FENÔMENOS TÉRMICOS A2-Matutino (SA),"quarta das 14:00 às 16:00, semanal ; sexta das 16:00 às 18:00, quinzenal I","sexta das 14:00 às 16:00, quinzenal II",SA,Matutino,3-1-4,30,10,-,EDUARDO DE MORAES GREGORES,0,EDUARDO DE MORAES GREGORES,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NA2BCJ0205-15SA,FENÔMENOS TÉRMICOS A2-Noturno (SA),"quarta das 19:00 às 21:00, semanal ; sexta das 21:00 às 23:00, quinzenal I","sexta das 19:00 às 21:00, quinzenal II",SA,Noturno,3-1-4,33,0,-,ANA MELVA CHAMPI FARFAN,0,ANA MELVA CHAMPI FARFAN,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NA3BCJ0205-15SA,FENÔMENOS TÉRMICOS A3-Noturno (SA),"quarta das 19:00 às 21:00, semanal ; sexta das 21:00 às 23:00, quinzenal I","sexta das 19:00 às 21:00, quinzenal I",SA,Noturno,3-1-4,33,0,SIM,FAGNER MURUCI DE PAULA,0,VILSON TONIN ZANCHIN,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NA4BCJ0205-15SA,FENÔMENOS TÉRMICOS A4-Noturno (SA),"quarta das 19:00 às 21:00, semanal ; sexta das 21:00 às 23:00, quinzenal I","sexta das 19:00 às 21:00, quinzenal II",SA,Noturno,3-1-4,33,0,SIM,FAGNER MURUCI DE PAULA,0,FAGNER MURUCI DE PAULA,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,DB1BCJ0205-15SA,FENÔMENOS TÉRMICOS B1-Matutino (SA),"quarta das 16:00 às 18:00, semanal ; sexta das 14:00 às 16:00, quinzenal I","sexta das 16:00 às 18:00, quinzenal I",SA,Matutino,3-1-4,33,0,-,JEAN JACQUES BONVENT,0,JEAN JACQUES BONVENT,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NB1BCJ0205-15SA,FENÔMENOS TÉRMICOS B1-Noturno (SA),"quarta das 21:00 às 23:00, semanal ; sexta das 19:00 às 21:00, quinzenal I","sexta das 21:00 às 23:00, quinzenal I",SA,Noturno,3-1-4,33,0,-,FAGNER MURUCI DE PAULA,0,VILSON TONIN ZANCHIN,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NB1BCJ0205-15SB,FENÔMENOS TÉRMICOS B1-Noturno (SB),"quarta das 21:00 às 23:00, semanal ; sexta das 19:00 às 21:00, quinzenal I","sexta das 21:00 às 23:00, quinzenal I",SB,Noturno,3-1-4,33,0,-,MARTIN GUSTAVO RICHARTE,0,MARTIN GUSTAVO RICHARTE,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,DB2BCJ0205-15SA,FENÔMENOS TÉRMICOS B2-Matutino (SA),"quarta das 16:00 às 18:00, semanal ; sexta das 14:00 às 16:00, quinzenal I","sexta das 16:00 às 18:00, quinzenal II",SA,Matutino,3-1-4,33,0,-,JEAN JACQUES BONVENT,0,JEAN JACQUES BONVENT,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NB2BCJ0205-15SA,FENÔMENOS TÉRMICOS B2-Noturno (SA),"quarta das 21:00 às 23:00, semanal ; sexta das 19:00 às 21:00, quinzenal I","sexta das 21:00 às 23:00, quinzenal II",SA,Noturno,3-1-4,33,0,-,FAGNER MURUCI DE PAULA,0,ANA MELVA CHAMPI FARFAN,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NB2BCJ0205-15SB,FENÔMENOS TÉRMICOS B2-Noturno (SB),"quarta das 21:00 às 23:00, semanal ; sexta das 19:00 às 21:00, quinzenal I","sexta das 21:00 às 23:00, quinzenal II",SB,Noturno,3-1-4,33,5,-,MARTIN GUSTAVO RICHARTE,0,MARTIN GUSTAVO RICHARTE,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,DA1BCN0407-15SA,FUNÇÕES DE VÁRIAS VARIÁVEIS A1-Matutino (SA),"segunda das 16:00 às 18:00, semanal ; quinta das 14:00 às 16:00, semanal",,SA,Matutino,4-0-4,90,0,SIM,ICARO GONCALVES,0,0,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,DA1BCN0407-15SB,FUNÇÕES DE VÁRIAS VARIÁVEIS A1-Matutino (SB),"segunda das 16:00 às 18:00, semanal ; quinta das 14:00 às 16:00, semanal",,SB,Matutino,4-0-4,90,54,-,VINICIUS CIFU LOPES,0,0,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NA1BCN0407-15SA,FUNÇÕES DE VÁRIAS VARIÁVEIS A1-Noturno (SA),"segunda das 21:00 às 23:00, semanal ; quinta das 19:00 às 21:00, semanal",,SA,Noturno,4-0-4,90,0,-,FRANCISCO JOSE GOZZI,0,0,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NA1BCN0407-15SB,FUNÇÕES DE VÁRIAS VARIÁVEIS A1-Noturno (SB),"segunda das 21:00 às 23:00, semanal ; quinta das 19:00 às 21:00, semanal",,SB,Noturno,4-0-4,90,13,-,VINICIUS CIFU LOPES,0,0,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NA2BCN0407-15SA,FUNÇÕES DE VÁRIAS VARIÁVEIS A2-Noturno (SA),"segunda das 21:00 às 23:00, semanal ; quinta das 19:00 às 21:00, semanal",,SA,Noturno,4-0-4,90,0,-,ILMA APARECIDA MARQUES SILVA,0,0,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NA2BCN0407-15SB,FUNÇÕES DE VÁRIAS VARIÁVEIS A2-Noturno (SB),"segunda das 21:00 às 23:00, semanal ; quinta das 19:00 às 21:00, semanal",,SB,Noturno,4-0-4,116,0,-,RAFAEL SANTOS DE OLIVEIRA ALVES,0,0,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NB1BCN0407-15SA,FUNÇÕES DE VÁRIAS VARIÁVEIS B1-Noturno (SA),"segunda das 19:00 às 21:00, semanal ; quinta das 21:00 às 23:00, semanal",,SA,Noturno,4-0-4,90,33,-,FRANCISCO JOSE GOZZI,0,0,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NB1BCN0407-15SB,FUNÇÕES DE VÁRIAS VARIÁVEIS B1-Noturno (SB),"segunda das 19:00 às 21:00, semanal ; quinta das 21:00 às 23:00, semanal",,SB,Noturno,4-0-4,115,0,-,RAFAEL SANTOS DE OLIVEIRA ALVES,0,0,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,DA1MCTC002-15SA,INTRODUÇÃO À NEUROCIÊNCIA A1-Matutino (SA),"segunda das 10:00 às 12:00, semanal ; quinta das 08:00 às 10:00, semanal",,SA,Matutino,4-0-5,60,0,-,RAQUEL VECCHIO FORNARI,PAULA AYAKO TIBA,0,0
CURSO,CÓDIGO DE TURMA,TURMA,TEORIA,PRÁTICA,CAMPUS,TURNO,T-P-E-I,VAGAS TOTAIS,VAGAS REMANESCENT ES,TURMAS ALTA DEMANDA,DOCENTE TEORIA,DOCENTE TEORIA 2,DOCENTE PRÁTICA,DOCENTE PRÁTICA 2
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NA1MCTC002-15SA,INTRODUÇÃO À NEUROCIÊNCIA A1-Noturno (SA),"segunda das 21:00 às 23:00, semanal ; quinta das 19:00 às 21:00, semanal",,SA,Noturno,4-0-5,60,0,SIM,RAQUEL VECCHIO FORNARI,PAULA AYAKO TIBA,0,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,DA1BIN0406-15SA,INTRODUÇÃO À PROBABILIDADE E À ESTATÍSTICA A1-Matutino (SA),"segunda das 08:00 às 10:00, semanal ; quinta das 10:00 às 12:00, quinzenal I",,SA,Matutino,3-0-4,90,0,-,CRISTIAN FAVIO COLETTI,0,0,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,DA1BIN0406-15SB,INTRODUÇÃO À PROBABILIDADE E À ESTATÍSTICA A1-Matutino (SB),"segunda das 08:00 às 10:00, semanal ; quinta das 10:00 às 12:00, quinzenal I",,SB,Matutino,3-0-4,90,0,-,ROBERTO VENEGEROLES NASCIMENTO,0,0,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NA1BIN0406-15SA,INTRODUÇÃO À PROBABILIDADE E À ESTATÍSTICA A1-Noturno (SA),"segunda das 19:00 às 21:00, semanal ; quinta das 21:00 às 23:00, quinzenal I",,SA,Noturno,3-0-4,90,0,SIM,VLADIMIR PERCHINE,0,0,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NA1BIN0406-15SB,INTRODUÇÃO À PROBABILIDADE E À ESTATÍSTICA A1-Noturno (SB),"segunda das 19:00 às 21:00, semanal ; quinta das 21:00 às 23:00, quinzenal I",,SB,Noturno,3-0-4,90,0,SIM,MARCO AURELIO CAZAROTTO GOMES,0,0,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,DA2BIN0406-15SA,INTRODUÇÃO À PROBABILIDADE E À ESTATÍSTICA A2-Matutino (SA),"segunda das 08:00 às 10:00, semanal ; quinta das 10:00 às 12:00, quinzenal I",,SA,Matutino,3-0-4,90,0,SIM,AILTON PAULO DE OLIVEIRA JUNIOR,0,0,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NA2BIN0406-15SA,INTRODUÇÃO À PROBABILIDADE E À ESTATÍSTICA A2-Noturno (SA),"segunda das 19:00 às 21:00, semanal ; quinta das 21:00 às 23:00, quinzenal I",,SA,Noturno,3-0-4,90,0,SIM,ANDRE MARTIN TIMPANARO,0,0,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NA2BIN0406-15SB,INTRODUÇÃO À PROBABILIDADE E À ESTATÍSTICA A2-Noturno (SB),"segunda das 19:00 às 21:00, semanal ; quinta das 21:00 às 23:00, quinzenal I",,SB,Noturno,3-0-4,90,0,SIM,IOANNIS PAPAGEORGIOU,0,0,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NA3BIN0406-15SA,INTRODUÇÃO À PROBABILIDADE E À ESTATÍSTICA A3-Noturno (SA),"segunda das 19:00 às 21:00, semanal ; quinta das 21:00 às 23:00, quinzenal I",,SA,Noturno,3-0-4,90,0,-,THOMAS LOGAN RITCHIE,0,0,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NA4BIN0406-15SA,INTRODUÇÃO À PROBABILIDADE E À ESTATÍSTICA A4-Noturno (SA),"segunda das 19:00 às 21:00, semanal ; quinta das 21:00 às 23:00, quinzenal I",,SA,Noturno,3-0-4,90,0,-,ERIKA ALEJANDRA RADA MORA,0,0,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,DB1BIN0406-15SA,INTRODUÇÃO À PROBABILIDADE E À ESTATÍSTICA B1-Matutino (SA),"segunda das 10:00 às 12:00, semanal ; quinta das 08:00 às 10:00, quinzenal I",,SA,Matutino,3-0-4,90,0,-,CRISTIAN FAVIO COLETTI,0,0,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,DB1BIN0406-15SB,INTRODUÇÃO À PROBABILIDADE E À ESTATÍSTICA B1-Matutino (SB),"segunda das 10:00 às 12:00, semanal ; quinta das 08:00 às 10:00, quinzenal I",,SB,Matutino,3-0-4,90,0,-,ROBERTO VENEGEROLES NASCIMENTO,0,0,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NB1BIN0406-15SA,INTRODUÇÃO À PROBABILIDADE E À ESTATÍSTICA B1-Noturno (SA),"segunda das 21:00 às 23:00, semanal ; quinta das 19:00 às 21:00, quinzenal I",,SA,Noturno,3-0-4,90,0,SIM,VLADIMIR PERCHINE,0,0,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NB1BIN0406-15SB,INTRODUÇÃO À PROBABILIDADE E À ESTATÍSTICA B1-Noturno (SB),"segunda das 21:00 às 23:00, semanal ; quinta das 19:00 às 21:00, quinzenal I",,SB,Noturno,3-0-4,90,0,-,MARCO AURELIO CAZAROTTO GOMES,0,0,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,DB2BIN0406-15SA,INTRODUÇÃO À PROBABILIDADE E À ESTATÍSTICA B2-Matutino (SA),"segunda das 10:00 às 12:00, semanal ; quinta das 08:00 às 10:00, quinzenal I",,SA,Matutino,3-0-4,90,0,-,AILTON PAULO DE OLIVEIRA JUNIOR,0,0,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NB2BIN0406-15SA,INTRODUÇÃO À PROBABILIDADE E À ESTATÍSTICA B2-Noturno (SA),"segunda das 21:00 às 23:00, semanal ; quinta das 19:00 às 21:00, quinzenal I",,SA,Noturno,3-0-4,90,0,-,ANDRE MARTIN TIMPANARO,0,0,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NB3BIN0406-15SA,INTRODUÇÃO À PROBABILIDADE E À ESTATÍSTICA B3-Noturno (SA),"segunda das 21:00 às 23:00, semanal ; quinta das 19:00 às 21:00, quinzenal I",,SA,Noturno,3-0-4,90,0,-,THOMAS LOGAN RITCHIE,0,0,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,DA1BCN0405-15SA,INTRODUÇÃO ÀS EQUAÇÕES DIFERENCIAIS ORDINÁRIAS A1-Matutino (SA),"terça das 10:00 às 12:00, semanal ; sexta das 08:00 às 10:00, semanal",,SA,Matutino,4-0-4,90,0,SIM,JULIANA MILITAO DA SILVA BERBERT,0,0,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,DA1BCN0405-15SB,INTRODUÇÃO ÀS EQUAÇÕES DIFERENCIAIS ORDINÁRIAS A1-Matutino (SB),"terça das 10:00 às 12:00, semanal ; sexta das 08:00 às 10:00, semanal",,SB,Matutino,4-0-4,90,26,-,SINUE DAYAN BARBERO LODOVICI,0,0,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NA1BCN0405-15SA,INTRODUÇÃO ÀS EQUAÇÕES DIFERENCIAIS ORDINÁRIAS A1-Noturno (SA),"terça das 21:00 às 23:00, semanal ; sexta das 19:00 às 21:00, semanal",,SA,Noturno,4-0-4,90,0,-,EDSON ALEX ARRAZOLA IRIARTE,0,0,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NA1BCN0405-15SB,INTRODUÇÃO ÀS EQUAÇÕES DIFERENCIAIS ORDINÁRIAS A1-Noturno (SB),"terça das 21:00 às 23:00, semanal ; sexta das 19:00 às 21:00, semanal",,SB,Noturno,4-0-4,90,0,-,0A DEFINIR DOCENTE,0,0,0
CURSO,CÓDIGO DE TURMA,TURMA,TEORIA,PRÁTICA,CAMPUS,TURNO,T-P-E-I,VAGAS TOTAIS,VAGAS REMANESCENT ES,TURMAS ALTA DEMANDA,DOCENTE TEORIA,DOCENTE TEORIA 2,DOCENTE PRÁTICA,DOCENTE PRÁTICA 2
BACHARELADO EM CIÊNCIA E TECNOLOGIA,DA2BCN0405-15SA,INTRODUÇÃO ÀS EQUAÇÕES DIFERENCIAIS ORDINÁRIAS A2-Matutino (SA),"terça das 10:00 às 12:00, semanal ; sexta das 08:00 às 10:00, semanal",,SA,Matutino,4-0-4,90,0,-,JEFERSON CASSIANO,0,0,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NA2BCN0405-15SA,INTRODUÇÃO ÀS EQUAÇÕES DIFERENCIAIS ORDINÁRIAS A2-Noturno (SA),"terça das 21:00 às 23:00, semanal ; sexta das 19:00 às 21:00, semanal",,SA,Noturno,4-0-4,90,0,SIM,MARIJANA BRTKA,0,0,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NA2BCN0405-15SB,INTRODUÇÃO ÀS EQUAÇÕES DIFERENCIAIS ORDINÁRIAS A2-Noturno (SB),"terça das 21:00 às 23:00, semanal ; sexta das 19:00 às 21:00, semanal",,SB,Noturno,4-0-4,90,33,-,CLEBER FERNANDO COLLE,0,0,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,DA3BCN0405-15SA,INTRODUÇÃO ÀS EQUAÇÕES DIFERENCIAIS ORDINÁRIAS A3-Matutino (SA),"terça das 10:00 às 12:00, semanal ; sexta das 08:00 às 10:00, semanal",,SA,Matutino,4-0-4,90,0,SIM,RAFAEL DE MATTOS GRISI,0,0,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,NA3BCN0405-15SA,INTRODUÇÃO ÀS EQUAÇÕES DIFERENCIAIS ORDINÁRIAS A3-Noturno (SA),"terça das 21:00 às 23:00, semanal ; sexta das 19:00 às 21:00, semanal",,SA,Noturno,4-0-4,90,0,-,NORBERTO ANIBAL MAIDANA,0,0,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,DB1BCN0405-15SA,INTRODUÇÃO ÀS EQUAÇÕES DIFERENCIAIS ORDINÁRIAS B1-Matutino (SA),"terça das 08:00 às 10:00, semanal ; sexta das 10:00 às 12:00, semanal",,SA,Matutino,4-0-4,90,0,-,ROLDAO DA ROCHA JUNIOR,0,0,0
BACHARELADO EM CIÊNCIA E TECNOLOGIA,DB1BCN0405-15SB,INTRODUÇÃO ÀS EQUAÇÕES DIFERENCIAIS ORDINÁRIAS B1-Matutino (SB),"terça das 08:00 às 10:00, semanal ; sexta das 10:00 às 12:00, semanal",,SB,Matutino,4-0-4,90,62,-,SINUE DAYAN BARBERO LODOVICI,0,0,0
